Faire les derivations morphologiques d'autant de mots que possible,,,,Catégories principales :,N V ADJ ADV,,,,,,,,,,,
Exemples,,,,,,,,,,,,,,,,
0.,Dérivé,Motif trouvé,Motif de remplacement,Sémantique de la règle,Contrainte,Contrainte2,Contrainte3,,,,,,,,,
manger,mangeur,*er,*eur,"""verbe -> agent""",$y r_isa,$x r_pos Ver:Inf,$y r_pos Nom:,,,,,,,,,
jardiner,jardinier,*er,*ier,"""verbe -> agent""",$x r_agent,,,,,,,,,,,
mandier,mandiant,*ier,*iant,"""verbe -> agent""",$x r_pos Ver:Inf,,,,,,,,,,,
postuler,postulant,*er,*ant,"""verbe -> agent""",,,,,,,,,,,,à l'aide
dormir,dormeur,*ir,*eur,"""verbe -> agent""",$x r_data 3Groupe,,,,,,,,,,,
finir,finisseur,*ir,*isseur,"""verbe -> agent""",$x r_data  Ver:Groupe2,,,,,,,,,,,
garder,gardien,*er,*ien,"""verbe -> agent""",,,,,,,,,,,,
fabriquer,fabricant,*quer,*cant,"""verbe -> agent""",,,,,,,,,,,,
économiser,économe,NB: économiser est dérivé de économe et non l’inverse,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
candidat,candidater,,,,,,,,,,,,,,,
criminel,criminaliser,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
criminaliser,criminalisation,*er,*ation,"""verbe -> action""",,,,,,,,,,,,
laver,lavage,*er,*age,"""verbe -> action""",,,,,,,,,,,,
laver,lavement,*er,*ement,"""verbe -> action""",,,,,,,,,,,,
finir,finissage,*ir,*issage,"""verbe -> action""",,,,,,,,,,,,
finir,finition,*ir,*ition,"""verbe -> action""",,,,,,,,,,,,
endormir,endormissement,*ir,*issement,"""verbe -> action""",,,,,,,,,,,,
libérer,libération,*er,*ation,"""verbe -> action""",,,,,,,,,,,,
compter,comptage,*er,*age,"""verbe -> action"" / ""verbe -> résultat""",,,,,,,,,,,,
peaufiner,peaufinage,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
laver,lavable,*er,*able,"""verbe -> adjectif""",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
rapide,rapidement,*[aeiouy],*[aeiouy]ment,"""adjectif -> adverbe""",,,,,,,,,,,,
violent,violemment,*ent,*emment,"""adjectif -> adverbe""",,,,,,,,,,,,
élégant,élégamment,*ant,*amment,"""adjectif -> adverbe""",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
vipère,vipereau,*ère,*ereau,,,,,,,,,,,,,
aigle,aiglon,,,,,,,,,,,,,,,
chat,chaton,,,,,,,,,,,,,,,
lapin,lapereau,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
laver,lavoir,*er,*oir,"""nom"" -> ""instrument/lieu""",,,,,,,,,,,,
raser,rasoir,,,,,,,,,,,,,,,
sécher,séchoir,,,,,,,,,,,,,,,
fumer,fumoir,,,,,,,,,,,,,,,
manger,mangeoir,*ger,*geoir,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
urine,urinaire,,,"""nom -> adjectif""",,,,,,,,,,,,
